period,work_order,person,hours,charge_rate,description
202061,9400-4-4,Dennis Hamilton,8.7,90,cybersecurity audit
202049,9200-2-2,Christopher Gregory,8.6,100,performance review analysis
202141,9500-5-5,Brian Wiggins,34.5,80,system upgrade implementation
202153,9300-3-3,Jennifer Hoffman,29.2,80,cybersecurity audit
202045,9400-4-4,Darlene Fischer,29.1,60,updating department budget
202014,9100-1-1,Christina Scott,23.7,60,research into teleportation
202208,9500-5-5,Teresa Solis,34.2,80,software development
202164,9100-1-1,Kyle Smith,37.8,50,research into teleportation
202188,9400-4-4,Kimberly Russell,12.6,80,updating department budget
202026,9100-1-1,William Hernandez,12.3,100,system upgrade implementation
202139,9100-1-1,Carolyn Fleming,31.5,90,software development
202145,9500-5-5,Christopher Gregory,2.3,50,research into teleportation
202199,9500-5-5,Kimberly Russell,11.4,100,equipment maintenance
202168,9100-1-1,Darlene Fischer,32.9,70,training new hires
202155,9500-5-5,Kimberly Russell,2.9,60,system upgrade implementation
202112,9500-5-5,Jennifer Sanchez,17.1,90,performance review analysis
202078,9200-2-2,Michael White,29.0,50,training new hires
202143,9500-5-5,Abigail Contreras,35.1,80,data migration project
202189,9300-3-3,Jennifer Hoffman,31.6,70,research into teleportation
202101,9300-3-3,Darlene Fischer,8.0,80,system upgrade implementation
202021,9400-4-4,Christopher Powers,27.0,80,performance review analysis
202145,9300-3-3,William Hernandez,29.6,60,performance review analysis
202189,9100-1-1,Brian Wiggins,26.9,100,system upgrade implementation
202091,9300-3-3,Jennifer Hoffman,35.6,90,research into teleportation
202146,9300-3-3,Sarah Wilson,19.9,80,equipment maintenance
202071,9400-4-4,Johnathan Pena,25.3,60,performance review analysis
202092,9400-4-4,Abigail Contreras,2.6,80,performance review analysis
202001,9100-1-1,Karen Gallegos,7.6,80,equipment maintenance
202130,9400-4-4,Darlene Fischer,19.3,60,system upgrade implementation
202040,9300-3-3,Abigail Contreras,13.0,100,performance review analysis
202051,9200-2-2,Tim Moreno,19.9,50,software development
202057,9200-2-2,Samuel Cook,22.2,60,equipment maintenance
202138,9500-5-5,William Hernandez,37.5,60,research into teleportation
202114,9400-4-4,Jennifer Hoffman,11.2,80,updating department budget
202041,9400-4-4,Christina Scott,22.3,50,research into teleportation
202012,9500-5-5,Samuel Cook,31.8,100,AI integration study
202065,9300-3-3,Tim Moreno,23.0,100,training new hires
202097,9100-1-1,Darlene Fischer,15.0,90,data migration project
202119,9100-1-1,Jessica Garner,31.0,70,data migration project
202024,9300-3-3,Karen Gallegos,36.8,80,software development
202092,9200-2-2,David Robinson,3.9,70,cybersecurity audit
202120,9500-5-5,Sarah Wilson,36.7,80,equipment maintenance
202131,9500-5-5,Jennifer Hoffman,11.8,50,equipment maintenance
202075,9300-3-3,Dennis Hamilton,31.2,80,training new hires
202092,9200-2-2,Angel Parsons,7.3,50,performance review analysis
202077,9300-3-3,Michael White,11.2,80,updating department budget
202207,9500-5-5,Kyle Smith,17.9,90,data migration project
202147,9500-5-5,Christina Scott,39.4,60,updating department budget
202136,9200-2-2,Sarah Wilson,38.1,90,research into teleportation
202021,9200-2-2,Karen Gallegos,21.9,80,data migration project
202004,9100-1-1,Abigail Contreras,23.5,50,system upgrade implementation
202211,9500-5-5,Sarah Wilson,18.1,50,system upgrade implementation
202064,9100-1-1,Angel Parsons,32.6,90,updating department budget
202211,9300-3-3,Travis Lewis,15.5,80,AI integration study
202022,9500-5-5,Jennifer Hoffman,39.3,100,equipment maintenance
202157,9100-1-1,Angel Parsons,16.6,50,data migration project
202006,9200-2-2,Teresa Solis,35.8,60,training new hires
202180,9500-5-5,Brian Wiggins,5.1,90,research into teleportation
202171,9300-3-3,Carolyn Fleming,26.9,50,data migration project
202100,9500-5-5,John Adams,20.9,100,training new hires
202200,9500-5-5,Karen Gallegos,29.6,80,software development
202070,9200-2-2,John Allison,39.1,90,software development
202106,9400-4-4,Johnathan Pena,1.3,100,data migration project
202125,9200-2-2,Brian Wiggins,32.7,50,AI integration study
202124,9200-2-2,Jessica Garner,1.5,80,cybersecurity audit
202109,9200-2-2,Kyle Smith,37.1,100,equipment maintenance
202031,9400-4-4,Angel Parsons,19.4,80,equipment maintenance
202136,9500-5-5,Brian Wiggins,3.7,60,data migration project
202178,9400-4-4,David Robinson,7.6,90,cybersecurity audit
202132,9400-4-4,Carolyn Fleming,9.9,100,performance review analysis
202097,9200-2-2,Sarah Wilson,19.0,60,cybersecurity audit
202099,9400-4-4,Johnathan Pena,2.3,100,AI integration study
202070,9400-4-4,John Adams,36.6,90,research into teleportation
202096,9200-2-2,Brian Wiggins,9.7,80,updating department budget
202067,9200-2-2,Karen Gallegos,14.4,100,system upgrade implementation
202003,9200-2-2,Darlene Fischer,12.6,60,updating department budget
202138,9100-1-1,Karen Gallegos,5.0,50,training new hires
202135,9400-4-4,Kimberly Russell,3.7,60,system upgrade implementation
202084,9500-5-5,Sarah Wilson,29.9,70,AI integration study
202126,9400-4-4,Johnathan Pena,4.1,70,performance review analysis
202114,9400-4-4,Darlene Fischer,26.6,70,performance review analysis
202034,9200-2-2,David Robinson,23.4,90,software development
202120,9300-3-3,Vincent Hunt,14.3,100,updating department budget
202119,9200-2-2,Tim Moreno,6.4,90,updating department budget
202170,9100-1-1,Christopher Powers,16.2,50,software development
202172,9400-4-4,Jennifer Sanchez,33.1,90,AI integration study
202003,9100-1-1,Carolyn Fleming,38.7,100,AI integration study
202038,9300-3-3,Deanna Russell,20.7,60,software development
202113,9400-4-4,Johnathan Pena,7.1,70,software development
202126,9400-4-4,David Robinson,16.9,100,research into teleportation
202142,9100-1-1,Brian Wiggins,27.7,50,AI integration study
202141,9100-1-1,Jessica Garner,32.7,50,cybersecurity audit
202022,9500-5-5,John Adams,4.9,90,system upgrade implementation
202112,9200-2-2,John Adams,24.5,80,software development
202146,9200-2-2,Angel Parsons,27.5,100,research into teleportation
202067,9200-2-2,John Allison,25.5,70,data migration project
202209,9500-5-5,Jennifer Hoffman,16.7,100,research into teleportation
202049,9200-2-2,Christopher Gregory,19.5,60,AI integration study
202113,9400-4-4,Teresa Solis,25.4,70,equipment maintenance
202205,9500-5-5,David Robinson,7.5,60,research into teleportation
202131,9300-3-3,Vincent Hunt,22.3,90,training new hires
202165,9300-3-3,Vincent Hunt,14.4,90,research into teleportation
202156,9500-5-5,Jennifer Sanchez,6.9,80,performance review analysis
202067,9300-3-3,John Allison,9.6,90,updating department budget
202106,9500-5-5,Brian Wiggins,25.4,80,research into teleportation
202070,9500-5-5,Mia Davis,38.2,60,system upgrade implementation
202098,9500-5-5,Darlene Fischer,36.0,100,updating department budget
202169,9500-5-5,Vincent Hunt,32.2,100,updating department budget
202026,9500-5-5,Samuel Cook,3.9,90,AI integration study
202203,9300-3-3,Tim Moreno,24.2,80,cybersecurity audit
202045,9200-2-2,Samuel Cook,14.1,80,research into teleportation
202054,9500-5-5,Johnathan Pena,10.8,80,data migration project
202167,9400-4-4,Michael White,1.2,70,updating department budget
202045,9300-3-3,Abigail Contreras,13.6,100,equipment maintenance
202068,9100-1-1,Carolyn Fleming,13.1,100,system upgrade implementation
202034,9400-4-4,Mia Davis,19.5,90,equipment maintenance
202097,9500-5-5,Angel Parsons,6.8,60,cybersecurity audit
202136,9400-4-4,Mike Shannon,26.8,90,training new hires
202206,9500-5-5,Teresa Solis,28.3,80,updating department budget
202044,9100-1-1,Samuel Cook,30.8,90,software development
202204,9300-3-3,Jessica Garner,8.3,60,training new hires
202165,9500-5-5,Deanna Russell,3.8,90,updating department budget
202183,9300-3-3,Christina Scott,31.4,50,system upgrade implementation
202123,9300-3-3,Brian Wiggins,20.0,60,software development
202102,9300-3-3,Tim Moreno,17.7,70,software development
202141,9200-2-2,Michael White,21.2,60,training new hires
202063,9400-4-4,Angel Parsons,6.4,60,software development
202083,9200-2-2,Brian Wiggins,6.7,80,data migration project
202071,9100-1-1,Christina Scott,14.5,60,training new hires
202163,9200-2-2,Dennis Hamilton,25.5,80,performance review analysis
202115,9300-3-3,Angel Parsons,35.2,50,software development
202111,9100-1-1,Vincent Hunt,4.2,60,performance review analysis
202117,9500-5-5,Darlene Fischer,39.0,50,system upgrade implementation
202092,9200-2-2,Abigail Contreras,21.0,90,cybersecurity audit
202040,9500-5-5,John Allison,1.9,70,AI integration study
202077,9500-5-5,Dennis Hamilton,12.7,70,research into teleportation
202056,9200-2-2,Jessica Garner,25.5,60,training new hires
202114,9200-2-2,Jessica Garner,12.9,80,updating department budget
202013,9500-5-5,Deanna Russell,2.7,90,equipment maintenance
202156,9500-5-5,Deanna Russell,38.2,50,research into teleportation
202206,9400-4-4,Kimberly Russell,36.5,80,updating department budget
202044,9300-3-3,Abigail Contreras,4.8,100,cybersecurity audit
202063,9200-2-2,Dennis Hamilton,1.7,100,software development
202070,9200-2-2,Samuel Cook,16.9,50,system upgrade implementation
202053,9200-2-2,Travis Lewis,20.5,70,training new hires
202025,9300-3-3,Angel Parsons,20.4,100,cybersecurity audit
202016,9400-4-4,Carolyn Fleming,11.0,80,software development
202032,9400-4-4,Mike Shannon,2.4,70,equipment maintenance
202133,9400-4-4,Karen Gallegos,5.8,60,AI integration study
202061,9400-4-4,Karen Gallegos,37.2,80,AI integration study
202047,9100-1-1,Mia Davis,30.7,50,research into teleportation
202043,9300-3-3,Dennis Hamilton,28.4,80,performance review analysis
202020,9300-3-3,Brian Wiggins,28.1,70,AI integration study
202171,9300-3-3,Kimberly Russell,16.2,50,AI integration study
202144,9500-5-5,Christopher Powers,3.5,70,AI integration study
202144,9400-4-4,Mike Shannon,37.8,70,system upgrade implementation
202161,9100-1-1,Christopher Gregory,31.4,80,training new hires
202016,9400-4-4,Abigail Contreras,1.1,60,system upgrade implementation
202180,9400-4-4,John Allison,4.6,60,AI integration study
202037,9400-4-4,Samuel Cook,35.1,80,cybersecurity audit
202139,9100-1-1,Johnathan Pena,21.3,60,software development
202120,9200-2-2,Dennis Hamilton,4.2,90,updating department budget
202033,9500-5-5,Teresa Solis,24.4,70,system upgrade implementation
202079,9100-1-1,Jennifer Hoffman,27.6,80,research into teleportation
202158,9100-1-1,Michael White,6.5,90,updating department budget
202175,9100-1-1,Teresa Solis,1.6,50,equipment maintenance
202128,9200-2-2,William Hernandez,25.4,60,cybersecurity audit
202061,9200-2-2,Dennis Hamilton,16.9,70,updating department budget
202060,9100-1-1,Travis Lewis,36.4,100,AI integration study
202099,9100-1-1,Mike Shannon,14.3,50,cybersecurity audit
202039,9100-1-1,William Hernandez,33.6,70,software development
202053,9500-5-5,Johnathan Pena,30.8,80,training new hires
202068,9100-1-1,Kyle Smith,14.6,50,system upgrade implementation
202153,9300-3-3,Christopher Powers,29.8,90,system upgrade implementation
202100,9500-5-5,Sarah Wilson,39.9,100,equipment maintenance
202043,9300-3-3,Samuel Cook,26.3,60,system upgrade implementation
202048,9500-5-5,Mia Davis,14.0,90,performance review analysis
202131,9300-3-3,Carolyn Fleming,1.2,50,performance review analysis
202017,9400-4-4,Angel Parsons,28.6,80,data migration project
202206,9100-1-1,Jessica Garner,12.6,100,system upgrade implementation
202006,9200-2-2,Darlene Fischer,37.5,50,cybersecurity audit
202108,9200-2-2,Brian Wiggins,3.5,90,data migration project
202077,9300-3-3,Johnathan Pena,32.5,100,cybersecurity audit
202030,9500-5-5,John Adams,35.2,90,data migration project
202151,9400-4-4,Deanna Russell,10.7,50,performance review analysis
202144,9200-2-2,Darlene Fischer,9.5,50,AI integration study
202112,9100-1-1,Tim Moreno,4.4,90,updating department budget
202138,9300-3-3,Karen Gallegos,19.4,100,training new hires
202076,9200-2-2,Dennis Hamilton,32.2,70,research into teleportation
202108,9400-4-4,Kimberly Russell,5.6,60,updating department budget
202083,9400-4-4,Angel Parsons,4.7,90,software development
202093,9400-4-4,John Allison,38.9,70,AI integration study
202112,9200-2-2,Mia Davis,17.2,80,system upgrade implementation
202029,9100-1-1,Deanna Russell,33.2,80,system upgrade implementation
202077,9500-5-5,Jennifer Hoffman,37.0,90,cybersecurity audit
202134,9100-1-1,Sarah Wilson,29.0,100,research into teleportation
202167,9500-5-5,Brian Wiggins,9.8,70,updating department budget
202071,9300-3-3,Sarah Wilson,23.1,80,performance review analysis
202102,9500-5-5,Christopher Powers,3.1,60,training new hires
202193,9400-4-4,Christina Scott,2.7,90,research into teleportation
202015,9500-5-5,Samuel Cook,34.9,60,cybersecurity audit
202090,9300-3-3,Mia Davis,19.0,70,research into teleportation
202121,9500-5-5,Christopher Powers,37.8,80,cybersecurity audit
202126,9500-5-5,David Robinson,2.1,60,cybersecurity audit
202069,9100-1-1,Jennifer Sanchez,3.0,50,performance review analysis
202119,9100-1-1,Jennifer Sanchez,15.9,60,equipment maintenance
202003,9400-4-4,David Robinson,16.0,60,cybersecurity audit
202029,9500-5-5,Jennifer Sanchez,10.2,100,system upgrade implementation
202104,9500-5-5,Abigail Contreras,12.3,60,training new hires
202008,9400-4-4,Mia Davis,8.0,100,software development
202070,9100-1-1,Dennis Hamilton,20.4,60,software development
202030,9300-3-3,John Adams,30.8,90,software development
202006,9400-4-4,William Hernandez,11.8,100,equipment maintenance
202032,9100-1-1,David Robinson,24.3,60,performance review analysis
202040,9200-2-2,Dennis Hamilton,6.1,60,data migration project
202163,9300-3-3,Jessica Garner,32.9,60,training new hires
202025,9200-2-2,Angel Parsons,36.1,70,software development
202008,9300-3-3,Johnathan Pena,20.5,50,data migration project
202193,9400-4-4,Mike Shannon,15.4,100,equipment maintenance
202064,9200-2-2,Vincent Hunt,38.6,70,software development
202189,9300-3-3,Vincent Hunt,30.0,100,performance review analysis
202183,9200-2-2,John Allison,6.3,90,AI integration study
202151,9500-5-5,Christina Scott,4.2,60,performance review analysis
202157,9200-2-2,Teresa Solis,14.6,60,performance review analysis
202063,9100-1-1,Christopher Gregory,23.4,60,cybersecurity audit
202104,9200-2-2,Deanna Russell,39.6,70,data migration project
202038,9300-3-3,John Allison,25.4,100,research into teleportation
202211,9200-2-2,William Hernandez,35.1,80,updating department budget
202019,9100-1-1,Christopher Gregory,15.4,90,cybersecurity audit
202075,9200-2-2,Darlene Fischer,13.9,100,updating department budget
202172,9500-5-5,Kyle Smith,1.7,50,AI integration study
202087,9300-3-3,Dennis Hamilton,33.2,90,performance review analysis
202143,9200-2-2,John Allison,30.7,50,equipment maintenance
202114,9200-2-2,Travis Lewis,6.6,70,research into teleportation
202179,9200-2-2,Travis Lewis,35.6,80,training new hires
202036,9100-1-1,Jennifer Sanchez,14.6,80,research into teleportation
202205,9400-4-4,Christopher Powers,35.1,60,software development
202048,9500-5-5,Mia Davis,6.9,60,research into teleportation
202137,9300-3-3,Carolyn Fleming,17.5,50,updating department budget
202201,9300-3-3,Jennifer Hoffman,24.8,80,cybersecurity audit
202010,9400-4-4,Carolyn Fleming,36.8,50,research into teleportation
202014,9200-2-2,Brian Wiggins,32.6,80,updating department budget
202138,9100-1-1,Johnathan Pena,22.3,60,cybersecurity audit
202059,9300-3-3,John Adams,25.5,50,equipment maintenance
202006,9500-5-5,Dennis Hamilton,36.9,50,training new hires
202061,9300-3-3,Samuel Cook,16.3,60,system upgrade implementation
202001,9300-3-3,Jennifer Sanchez,7.7,100,system upgrade implementation
202023,9300-3-3,Christopher Gregory,36.2,50,cybersecurity audit
202183,9100-1-1,Abigail Contreras,25.8,90,system upgrade implementation
202027,9100-1-1,Michael White,9.7,100,research into teleportation
202095,9500-5-5,Michael White,7.1,100,software development
202064,9100-1-1,Johnathan Pena,26.7,60,software development
202030,9500-5-5,Jennifer Hoffman,11.7,100,performance review analysis
202112,9400-4-4,William Hernandez,13.9,60,updating department budget
202187,9400-4-4,Brian Wiggins,15.7,90,performance review analysis
202126,9200-2-2,Deanna Russell,18.7,90,data migration project
202004,9400-4-4,Teresa Solis,10.2,100,performance review analysis
202060,9200-2-2,Jessica Garner,22.9,100,data migration project
202012,9300-3-3,Christopher Gregory,18.4,70,performance review analysis
202073,9100-1-1,Samuel Cook,28.4,60,data migration project
202194,9300-3-3,Travis Lewis,3.7,70,cybersecurity audit
202050,9200-2-2,Jennifer Sanchez,36.2,80,AI integration study
202155,9200-2-2,Christina Scott,35.9,50,research into teleportation
202188,9300-3-3,John Allison,3.5,100,performance review analysis
202122,9500-5-5,Samuel Cook,12.1,60,performance review analysis
202133,9100-1-1,Kyle Smith,22.6,50,AI integration study
202109,9400-4-4,Jennifer Sanchez,14.0,90,updating department budget
202128,9100-1-1,Samuel Cook,36.9,80,equipment maintenance
202166,9500-5-5,Johnathan Pena,20.1,100,system upgrade implementation
202169,9100-1-1,Vincent Hunt,3.9,60,cybersecurity audit
202003,9300-3-3,Johnathan Pena,35.0,90,performance review analysis
202088,9200-2-2,Mia Davis,28.7,50,performance review analysis
202111,9500-5-5,Brian Wiggins,6.5,50,research into teleportation
202112,9200-2-2,William Hernandez,36.6,90,system upgrade implementation
202123,9400-4-4,Christina Scott,11.9,80,research into teleportation
202018,9400-4-4,Brian Wiggins,31.5,100,AI integration study
202077,9200-2-2,Jennifer Hoffman,3.0,60,training new hires
202077,9100-1-1,Johnathan Pena,34.7,60,cybersecurity audit
202032,9300-3-3,Tim Moreno,17.4,50,software development
202079,9500-5-5,John Allison,37.6,80,updating department budget
202127,9200-2-2,Christina Scott,1.2,70,AI integration study
202092,9200-2-2,Kimberly Russell,9.3,80,data migration project
202102,9200-2-2,John Allison,17.2,50,AI integration study
202180,9400-4-4,Christopher Powers,5.1,100,system upgrade implementation
202115,9200-2-2,Christopher Powers,32.9,80,system upgrade implementation
202205,9100-1-1,Jennifer Sanchez,2.9,70,AI integration study
202156,9500-5-5,Sarah Wilson,8.5,60,cybersecurity audit
202151,9400-4-4,John Allison,4.7,50,training new hires
202074,9400-4-4,Darlene Fischer,3.0,100,system upgrade implementation
202115,9400-4-4,Jennifer Sanchez,36.8,80,software development
202170,9300-3-3,Jessica Garner,19.6,90,AI integration study
202155,9200-2-2,Jennifer Sanchez,16.4,100,AI integration study
202140,9300-3-3,Michael White,21.8,70,training new hires
202138,9300-3-3,Carolyn Fleming,17.9,80,research into teleportation
202101,9300-3-3,Jennifer Hoffman,37.0,50,software development
202095,9400-4-4,Sarah Wilson,23.8,100,cybersecurity audit
202114,9400-4-4,Kimberly Russell,11.8,60,system upgrade implementation
202178,9500-5-5,Kyle Smith,22.9,60,performance review analysis
202128,9200-2-2,Travis Lewis,33.1,90,training new hires
202170,9100-1-1,Sarah Wilson,15.4,70,training new hires
202105,9100-1-1,Darlene Fischer,18.1,80,equipment maintenance
202053,9100-1-1,Vincent Hunt,21.3,100,equipment maintenance
202045,9100-1-1,Kyle Smith,24.3,90,system upgrade implementation
202207,9200-2-2,Kimberly Russell,14.4,50,system upgrade implementation
202012,9400-4-4,Deanna Russell,14.3,50,cybersecurity audit
202094,9400-4-4,Brian Wiggins,9.2,70,research into teleportation
202201,9400-4-4,Teresa Solis,1.2,50,performance review analysis
202150,9400-4-4,Angel Parsons,16.2,90,software development
202079,9200-2-2,Kyle Smith,33.7,100,training new hires
202060,9500-5-5,Christopher Powers,27.2,80,updating department budget
202150,9200-2-2,Mike Shannon,9.3,60,AI integration study
202127,9500-5-5,Vincent Hunt,1.7,50,system upgrade implementation
202016,9500-5-5,Deanna Russell,22.4,60,equipment maintenance
202007,9100-1-1,Jessica Garner,28.1,50,updating department budget
202026,9400-4-4,Vincent Hunt,22.6,70,training new hires
202076,9500-5-5,Christopher Powers,35.7,50,cybersecurity audit
202106,9200-2-2,Samuel Cook,32.7,70,performance review analysis
202095,9100-1-1,William Hernandez,26.0,70,training new hires
202001,9500-5-5,Deanna Russell,3.6,80,cybersecurity audit
202171,9100-1-1,Darlene Fischer,4.3,100,training new hires
202168,9500-5-5,Travis Lewis,30.2,60,training new hires
202109,9300-3-3,Abigail Contreras,10.9,50,equipment maintenance
202191,9400-4-4,Kimberly Russell,6.2,80,software development
202117,9500-5-5,Mia Davis,7.0,100,software development
202162,9300-3-3,John Adams,24.7,60,training new hires
202042,9100-1-1,Jessica Garner,6.6,70,software development
202029,9300-3-3,Travis Lewis,6.7,60,performance review analysis
202028,9300-3-3,Jessica Garner,6.7,100,updating department budget
202085,9200-2-2,Darlene Fischer,39.6,50,software development
202107,9500-5-5,William Hernandez,22.0,70,cybersecurity audit
202102,9200-2-2,Dennis Hamilton,9.3,90,AI integration study
202198,9200-2-2,Christopher Gregory,14.4,100,system upgrade implementation
202098,9400-4-4,John Allison,5.8,100,updating department budget
202091,9100-1-1,William Hernandez,3.2,60,system upgrade implementation
202121,9200-2-2,Mike Shannon,36.2,50,software development
202103,9500-5-5,Karen Gallegos,37.6,50,research into teleportation
202026,9400-4-4,Johnathan Pena,12.8,90,software development
202077,9400-4-4,Vincent Hunt,12.3,50,AI integration study
202198,9200-2-2,John Adams,14.7,70,cybersecurity audit
202148,9300-3-3,Carolyn Fleming,7.3,90,data migration project
202185,9500-5-5,Jessica Garner,37.7,90,software development
202008,9200-2-2,Karen Gallegos,15.3,100,training new hires
202198,9300-3-3,Kimberly Russell,24.7,100,performance review analysis
202082,9100-1-1,Dennis Hamilton,25.6,80,updating department budget
202161,9500-5-5,Tim Moreno,14.8,70,equipment maintenance
202104,9300-3-3,Jessica Garner,36.1,80,AI integration study
202142,9100-1-1,William Hernandez,15.4,60,research into teleportation
202033,9200-2-2,Carolyn Fleming,26.1,70,updating department budget
202078,9500-5-5,John Adams,16.9,50,cybersecurity audit
202191,9500-5-5,Christopher Powers,30.2,90,equipment maintenance
202011,9300-3-3,Christina Scott,27.6,100,training new hires
202194,9400-4-4,Jennifer Hoffman,15.9,80,data migration project
202180,9500-5-5,Teresa Solis,38.4,50,research into teleportation
202209,9100-1-1,Jessica Garner,25.7,90,research into teleportation
202165,9500-5-5,John Allison,24.7,70,updating department budget
202062,9200-2-2,David Robinson,14.9,90,equipment maintenance
202044,9500-5-5,William Hernandez,16.0,60,data migration project
202195,9500-5-5,David Robinson,28.2,100,performance review analysis
202164,9400-4-4,John Allison,38.8,60,AI integration study
202066,9500-5-5,Kyle Smith,14.2,80,performance review analysis
202101,9500-5-5,David Robinson,35.6,90,training new hires
202055,9100-1-1,Mike Shannon,15.8,50,system upgrade implementation
202035,9100-1-1,Christopher Powers,26.5,70,training new hires
202003,9300-3-3,Kyle Smith,11.0,60,updating department budget
202072,9100-1-1,Angel Parsons,27.5,50,performance review analysis
202163,9500-5-5,John Allison,29.7,100,research into teleportation
202198,9500-5-5,Darlene Fischer,6.0,90,equipment maintenance
202193,9100-1-1,Kyle Smith,11.8,100,equipment maintenance
202093,9300-3-3,Brian Wiggins,19.5,90,software development
202090,9500-5-5,William Hernandez,24.0,90,performance review analysis
202159,9100-1-1,Dennis Hamilton,6.3,60,performance review analysis
202037,9400-4-4,Kimberly Russell,9.3,50,cybersecurity audit
202011,9500-5-5,William Hernandez,34.6,60,research into teleportation
202013,9400-4-4,Christopher Gregory,20.8,80,data migration project
202199,9300-3-3,Darlene Fischer,34.6,50,cybersecurity audit
202028,9100-1-1,Angel Parsons,4.1,70,research into teleportation
202124,9500-5-5,Deanna Russell,7.3,100,equipment maintenance
202211,9400-4-4,Teresa Solis,5.0,90,system upgrade implementation
202136,9100-1-1,Christopher Gregory,15.5,100,updating department budget
202020,9100-1-1,Christina Scott,19.9,70,AI integration study
202205,9200-2-2,Angel Parsons,15.7,80,performance review analysis
202116,9300-3-3,Michael White,19.9,70,equipment maintenance
202060,9300-3-3,Carolyn Fleming,27.8,70,data migration project
202031,9100-1-1,Teresa Solis,30.5,90,updating department budget
202007,9100-1-1,Deanna Russell,6.5,50,software development
202030,9300-3-3,Christina Scott,23.1,60,AI integration study
202140,9100-1-1,Christopher Powers,31.7,70,data migration project
202190,9400-4-4,Mike Shannon,12.8,100,research into teleportation
202067,9300-3-3,Christopher Gregory,17.9,50,data migration project
202061,9200-2-2,Brian Wiggins,11.0,100,software development
202144,9500-5-5,Jessica Garner,14.0,50,training new hires
202030,9400-4-4,Karen Gallegos,1.2,80,research into teleportation
202195,9500-5-5,Carolyn Fleming,11.7,70,training new hires
202017,9200-2-2,John Allison,37.8,80,cybersecurity audit
202037,9200-2-2,Dennis Hamilton,8.2,80,updating department budget
202092,9300-3-3,Teresa Solis,12.1,70,performance review analysis
202125,9400-4-4,Abigail Contreras,30.0,50,cybersecurity audit
202070,9100-1-1,Samuel Cook,29.4,60,system upgrade implementation
202020,9500-5-5,Travis Lewis,12.7,60,data migration project
202138,9400-4-4,Carolyn Fleming,38.1,100,system upgrade implementation
202125,9500-5-5,William Hernandez,15.6,70,AI integration study
202109,9400-4-4,Tim Moreno,21.8,50,research into teleportation
202172,9400-4-4,Karen Gallegos,19.8,70,research into teleportation
202092,9200-2-2,Jennifer Sanchez,29.6,100,equipment maintenance
202113,9100-1-1,Travis Lewis,24.7,50,cybersecurity audit
202201,9200-2-2,Vincent Hunt,20.9,80,equipment maintenance
202131,9500-5-5,Tim Moreno,11.3,80,AI integration study
202124,9100-1-1,Jennifer Hoffman,17.2,90,performance review analysis
202111,9100-1-1,Jennifer Sanchez,23.0,100,training new hires
202016,9500-5-5,Jessica Garner,33.7,60,system upgrade implementation
202054,9100-1-1,Sarah Wilson,38.9,100,training new hires
202147,9400-4-4,Kimberly Russell,27.7,90,cybersecurity audit
202114,9300-3-3,John Adams,34.1,70,updating department budget
202150,9400-4-4,Sarah Wilson,36.3,70,performance review analysis
202188,9400-4-4,William Hernandez,31.3,50,data migration project
202026,9400-4-4,Mia Davis,33.9,60,data migration project
202100,9300-3-3,Jessica Garner,31.9,80,system upgrade implementation
202051,9500-5-5,William Hernandez,8.8,100,cybersecurity audit
202055,9400-4-4,John Adams,38.9,70,AI integration study
202102,9100-1-1,Karen Gallegos,39.4,90,AI integration study
202166,9200-2-2,John Allison,29.5,100,research into teleportation
202194,9300-3-3,Vincent Hunt,36.8,50,software development
202134,9100-1-1,Mike Shannon,12.5,70,data migration project
202173,9300-3-3,Kimberly Russell,3.1,50,performance review analysis
202202,9100-1-1,Samuel Cook,37.0,70,data migration project
202102,9200-2-2,Tim Moreno,38.8,50,system upgrade implementation
202151,9500-5-5,Michael White,14.0,60,data migration project
202171,9100-1-1,Christina Scott,38.2,70,training new hires
202063,9200-2-2,Christopher Powers,32.3,80,data migration project
202044,9200-2-2,Travis Lewis,11.6,90,updating department budget
202134,9300-3-3,Deanna Russell,34.6,100,software development
202126,9100-1-1,Mike Shannon,15.5,100,data migration project
202044,9500-5-5,Deanna Russell,32.7,100,system upgrade implementation
202005,9100-1-1,Tim Moreno,9.1,50,software development
202201,9300-3-3,Mia Davis,22.9,80,software development
202212,9500-5-5,Carolyn Fleming,21.2,60,software development
202161,9200-2-2,Mike Shannon,25.2,70,updating department budget
202171,9100-1-1,Christopher Gregory,11.2,50,cybersecurity audit
202197,9300-3-3,Teresa Solis,19.2,70,training new hires
202110,9400-4-4,Jennifer Hoffman,21.1,100,research into teleportation
202080,9500-5-5,Sarah Wilson,37.2,50,training new hires
202179,9300-3-3,Kyle Smith,10.8,80,data migration project
202143,9300-3-3,Karen Gallegos,6.3,50,updating department budget
202080,9400-4-4,Deanna Russell,18.6,70,performance review analysis
202200,9500-5-5,Carolyn Fleming,31.2,50,training new hires
202206,9100-1-1,Michael White,34.7,70,AI integration study
202120,9400-4-4,Deanna Russell,39.8,80,data migration project
202107,9100-1-1,Darlene Fischer,19.1,100,cybersecurity audit
202209,9100-1-1,Angel Parsons,26.2,90,AI integration study
202208,9300-3-3,Mia Davis,20.8,90,equipment maintenance
202011,9400-4-4,Christina Scott,39.6,60,updating department budget
202120,9100-1-1,Vincent Hunt,27.5,60,performance review analysis
202020,9300-3-3,John Allison,10.1,80,software development
202122,9500-5-5,Christopher Gregory,27.3,70,software development
202067,9500-5-5,Teresa Solis,30.0,100,performance review analysis
